1,14.013,18.683,2.918
2,14.027,18.329,2.839
3,13.575,18.084,2.872
4,12.873,18.054,2.831			
5,14.007,18.779,2.135			
6,14.027,18.307,1.999			
7,13.45,18.076,2.012			
8,12.681,18.047,2.024			
9,14.008,18.808,1.27			
10,13.099,18.062,1.33			
11,12.376,18.036,0.834			
12,12.318,17.963,2.772			
13,12.32,17.965,1.725			
14,12.323,17.96,0.586			
15,12.587,17.151,2.594			
16,12.523,17.148,1.839			
17,12.513,17.149,1.046			
18,12.35,17.142,0.312			
19,12.316,17.018,2.706			
20,12.32,16.932,2.235			
21,12.309,17.099,1.53			
22,12.308,17.098,0.407			
23,11.967,16.766,2.776			
24,12.161,16.184,2.096			
25,12.217,16.184,1.245			
26,12.166,16.187,0.453			
27,11.493,16.748,2.745			
28,10.873,16.140,2.016		
29,10.874,16.141,0.735		
30,10.539,16.711,0.174			
31,10.955,16.726,2.734			
32,10.312,16.702,2.703			
33,10.405,16.708,1.763			
34,10.32,16.703,1.202			
35,9.947,16.691,2.943			
36,9.962,16.108,2.33			
37,6.521,18.929,2.893			
38,6.495,19.666,2.956			
39,6.467,20.302,2.934			
40,6.422,21.374,2.92			
41,6.389,22.263,2.879			
42,6.526,18.862,1.96			
43,6.495,19.66,2.033			
44,6.46,20.421,2.135			
45,6.42,21.405,2.073			
46,6.385,22.305,1.896		
47,6.526,18.806,1.297			
48,6.484,19.93,1.365			
49,6.428,21.251,1.253			
50,6.374,22.543,1.273			
51,6.349,23.430,2.986		
52,6.299,24.686,2.926		
53,6.354,23.264,1.991		
54,6.293,24.822,2.004		
55,6.339,23.632,1.138		
56,6.289,24.987,1.133		
57,7.060,25.306,1.133		
58,8.102,25.346,1.139		
59,9.537,25.396,1.132		
60,6.977,25.128,3.118		
61,7.900,25.163,3.102		
62,9.060,25.207,3.113		
63,6.560,25.496,0.834		
64,8.232,25.554,0.953		
65,9.433,25.590,0.648		
66,10.483,25.622,2.913		
67,11.475,25.457,2.886		
68,10.198,25.433,1.889		
69,10.922,25.631,0.926		
70,11.489,25.458,1.886		
71,13.244,25.561,2.849		
72,13.169,25.547,1.193		
73,13.763,24.684,2.938		
74,13.746,24.723,1.361		
75,13.836,22.822,2.867		
76,13.829,22.807,1.314		
77,13.917,20.911,2.855		
78,13.917,20.852,1.408		
79,13.952,20.034,2.103		
80,13.875,21.838,2.154		
81,13.803,23.717,2.222		
82,12.563,25.529,2.155		
83,10.828,25.630,2.207		
84,9.952,25.415,0.698		
85,11.470,25.459,0.612		
86,9.030,16.653,3.021		
87,8.355,16.630,3.013		
88,9.446,16.672,2.506		
89,8.737,16.643,2.495		
90,7.685,16.594,3.061		
91,7.903,16.612,2.486		
92,7.135,16.582,2.481		
93,7.113,16.574,2.992		
94,7.606,16.023,2.287		
95,7.010,16.002,2.283		
96,7.641,16.027,1.234		
97,7.038,16.002,1.191		
98,6.839,16.378,2.314		
99,6.835,16.433,1.323		
100,6.599,17.062,2.772		
101,6.599,17.077,1.818		
102,6.559,18.137,1.935		
103,6.558,18.050,2.789		
104,7.332,16.011,1.724		
